airport_id,iata_code,airport_name,icao_code,city,country,latitude,longitude
55,YFB,Iqaluit Airport,CYFB,Iqaluit,Canada,63.756402,-68.555801
56,YFC,Fredericton Airport,CYFC,Fredericton,Canada,45.8689002991,-66.5372009277
57,YFE,Forestville Airport,CYFE,Forestville,Canada,48.7461013794,-69.0971984863
58,YFO,Flin Flon Airport,CYFO,Flin Flon,Canada,54.6781005859,-101.6819992065
59,YFR,Fort Resolution Airport,CYFR,Fort Resolution,Canada,61.1808013916,-113.690002441
60,YFS,Fort Simpson Airport,CYFS,Fort Simpson,Canada,61.7602005005,-121.2369995117
61,YGK,Kingston Norman Rogers Airport,CYGK,Kingston,Canada,44.2252998352,-76.5969009399
62,YGL,La Grande Rivière Airport,CYGL,La Grande Riviere,Canada,53.6253013611,-77.7042007446
63,YGP,Gaspé (Michel-Pouliot) Airport,CYGP,Gaspe,Canada,48.7752990723,-64.4785995483
64,YGQ,Geraldton Greenstone Regional Airport,CYGQ,Geraldton,Canada,49.778301239,-86.9393997192
65,YGR,Îles-de-la-Madeleine Airport,CYGR,Iles De La Madeleine,Canada,47.4247016907,-61.7780990601
66,YHB,Hudson Bay Airport,CYHB,Hudson Bay,Canada,52.8166999817,-102.310997009
67,YHD,Dryden Regional Airport,CYHD,Dryden,Canada,49.831699,-92.744202
68,YHI,Ulukhaktok Holman Airport,CYHI,Holman Island,Canada,70.762802124,-117.8059997559
69,YHK,Gjoa Haven Airport,CYHK,Gjoa Haven,Canada,68.635597229,-95.8497009277
70,YHM,John C. Munro Hamilton International Airport,CYHM,Hamilton,Canada,43.1735992432,-79.9349975586
71,YHU,Montréal / Saint-Hubert Airport,CYHU,Montreal,Canada,45.5175018311,-73.4169006348
72,YHY,Hay River / Merlyn Carter Airport,CYHY,Hay River,Canada,60.8396987915,-115.782997131
73,YHZ,Halifax / Stanfield International Airport,CYHZ,Halifax,Canada,44.8807983398,-63.5085983276
74,YIB,Atikokan Municipal Airport,CYIB,Atikokan,Canada,48.7738990784,-91.6386032104
75,YIO,Pond Inlet Airport,CYIO,Pond Inlet,Canada,72.6832962036,-77.9666976929
76,YJN,St Jean Airport,CYJN,St. Jean,Canada,45.2943992615,-73.2810974121
77,YJT,Stephenville Airport,CYJT,Stephenville,Canada,48.5442008972,-58.5499992371
78,YKA,Kamloops Airport,CYKA,Kamloops,Canada,50.7022018433,-120.444000244
79,YKF,Waterloo Airport,CYKF,Waterloo,Canada,43.4608001709,-80.3786010742
80,YKL,Schefferville Airport,CYKL,Schefferville,Canada,54.8053016663,-66.8052978516
81,YKY,Kindersley Airport,CYKY,Kindersley,Canada,51.5175018311,-109.180999756
82,YKZ,Buttonville Municipal Airport,CYKZ,Toronto,Canada,43.8622016907,-79.3700027466
83,YLD,Chapleau Airport,CYLD,Chapleau,Canada,47.8199996948,-83.3467025757
84,YLJ,Meadow Lake Airport,CYLJ,Meadow Lake,Canada,54.1253013611,-108.5230026245
85,YLL,Lloydminster Airport,CYLL,Lloydminster,Canada,53.3092002869,-110.0729980469
86,YLT,Alert Airport,CYLT,Alert,Canada,82.5177993774,-62.2806015015
87,YLW,Kelowna International Airport,CYLW,Kelowna,Canada,49.9561004639,-119.377998352
88,YMA,Mayo Airport,CYMA,Mayo,Canada,63.6164016724,-135.8679962158
89,YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,CYMJ,Moose Jaw,Canada,50.3302993774,-105.5589981079
90,YMM,Fort McMurray Airport,CYMM,Fort Mcmurray,Canada,56.653301239,-111.222000122
91,YMO,Moosonee Airport,CYMO,Moosonee,Canada,51.2910995483,-80.6078033447
92,YMW,Maniwaki Airport,CYMW,Maniwaki,Canada,46.2728004456,-75.9906005859
93,YMX,Montreal International (Mirabel) Airport,CYMX,Montreal,Canada,45.679501,-74.038696
94,YNA,Natashquan Airport,CYNA,Natashquan,Canada,50.1899986267,-61.7891998291
95,YND,Ottawa / Gatineau Airport,CYND,Gatineau,Canada,45.5217018127,-75.5635986328
96,YNM,Matagami Airport,CYNM,Matagami,Canada,49.7616996765,-77.8028030396
97,YOC,Old Crow Airport,CYOC,Old Crow,Canada,67.570602417,-139.8390045166
98,YOD,CFB Cold Lake,CYOD,Cold Lake,Canada,54.4049987793,-110.2789993286
99,YOJ,High Level Airport,CYOJ,High Level,Canada,58.6213989258,-117.1650009155
100,YOW,Ottawa Macdonald-Cartier International Airport,CYOW,Ottawa,Canada,45.3224983215,-75.6691970825
101,YPA,Prince Albert Glass Field,CYPA,Prince Albert,Canada,53.2141990662,-105.672996521
102,YPE,Peace River Airport,CYPE,Peace River,Canada,56.226898,-117.446999
103,YPG,Southport Airport,CYPG,Portage-la-prairie,Canada,49.903099,-98.273817
104,,Pitt Meadows Airport,CYPK,Pitt Meadows,Canada,49.2160987854,-122.7099990845
105,YPL,Pickle Lake Airport,CYPL,Pickle Lake,Canada,51.4463996887,-90.2142028809
106,YPN,Port Menier Airport,CYPN,Port Menier,Canada,49.8363990784,-64.2885971069
107,YPQ,Peterborough Airport,CYPQ,Peterborough,Canada,44.2299995422,-78.3632965088
108,YPR,Prince Rupert Airport,CYPR,Prince Pupert,Canada,54.2860984802,-130.445007324
109,YPY,Fort Chipewyan Airport,CYPY,Fort Chipewyan,Canada,58.76720047,-111.1169967651
110,YQA,Muskoka Airport,CYQA,Muskoka,Canada,44.9747009277,-79.3032989502
111,YQB,Quebec Jean Lesage International Airport,CYQB,Quebec,Canada,46.7911,-71.393303
112,YQF,Red Deer Regional Airport,CYQF,Red Deer Industrial,Canada,52.1822013855,-113.8939971924
113,YQG,Windsor Airport,CYQG,Windsor,Canada,42.2756004333,-82.9555969238
114,YQH,Watson Lake Airport,CYQH,Watson Lake,Canada,60.1164016724,-128.8220062256
115,YQK,Kenora Airport,CYQK,Kenora,Canada,49.7882995605,-94.3630981445
116,YQL,Lethbridge County Airport,CYQL,Lethbridge,Canada,49.6302986145,-112.800003052
117,YQM,Greater Moncton International Airport,CYQM,Moncton,Canada,46.1122016907,-64.6785964966
119,YQQ,Comox Airport,CYQQ,Comox,Canada,49.7108001709,-124.8870010376
120,YQR,Regina International Airport,CYQR,Regina,Canada,50.4319000244,-104.6660003662
121,YQT,Thunder Bay Airport,CYQT,Thunder Bay,Canada,48.3718986511,-89.3238983154
122,YQU,Grande Prairie Airport,CYQU,Grande Prairie,Canada,55.1796989441,-118.885002136
123,YQV,Yorkton Municipal Airport,CYQV,Yorkton,Canada,51.2647018433,-102.4619979858
124,YQW,North Battleford Airport,CYQW,North Battleford,Canada,52.7691993713,-108.2440032959
125,YQX,Gander International Airport,CYQX,Gander,Canada,48.9369010925,-54.5680999756
126,YQY,Sydney / J.A. Douglas McCurdy Airport,CYQY,Sydney,Canada,46.1614,-60.047798
127,YQZ,Quesnel Airport,CYQZ,Quesnel,Canada,53.0261001587,-122.5100021362
128,YRB,Resolute Bay Airport,CYRB,Resolute,Canada,74.7169036865,-94.9693984985
129,YRI,Rivière-du-Loup Airport,CYRI,Riviere Du Loup,Canada,47.7644004822,-69.5847015381
130,YRJ,Roberval Airport,CYRJ,Roberval,Canada,48.5200004578,-72.2656021118
131,YRM,Rocky Mountain House Airport,CYRM,Rocky Mountain House,Canada,52.4296989441,-114.903999329
132,YRT,Rankin Inlet Airport,CYRT,Rankin Inlet,Canada,62.8114013672,-92.1157989502
133,YSB,Sudbury Airport,CYSB,Sudbury,Canada,46.625,-80.7988967896
134,YSC,Sherbrooke Airport,CYSC,Sherbrooke,Canada,45.4385986328,-71.6913986206
135,YSJ,Saint John Airport,CYSJ,St. John,Canada,45.3161010742,-65.890296936
136,YSM,Fort Smith Airport,CYSM,Fort Smith,Canada,60.0203018188,-111.9619979858
137,YSR,Nanisivik Airport,CYSR,Nanisivik,Canada,72.982201,-84.613602
138,YSU,Summerside Airport,CYSU,Summerside,Canada,46.4406013489,-63.8335990906
139,YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,CYSY,Sachs Harbour,Canada,71.9938964844,-125.242996216
140,YTE,Cape Dorset Airport,CYTE,Cape Dorset,Canada,64.2300033569,-76.5267028809
141,YTH,Thompson Airport,CYTH,Thompson,Canada,55.8011016846,-97.8641967773
142,YTR,CFB Trenton,CYTR,Trenton,Canada,44.1189002991,-77.5280990601
143,YTS,Timmins/Victor M. Power,CYTS,Timmins,Canada,48.5696983337,-81.376701355
144,YTZ,Billy Bishop Toronto City Centre Airport,CYTZ,Toronto,Canada,43.627499,-79.396202
145,YUB,Tuktoyaktuk Airport,CYUB,Tuktoyaktuk,Canada,69.4332962036,-133.0260009766
146,YUL,Montreal / Pierre Elliott Trudeau International Airport,CYUL,Montreal,Canada,45.4706001282,-73.7407989502
147,YUT,Repulse Bay Airport,CYUT,Repulse Bay,Canada,66.5214004517,-86.2247009277
148,YUX,Hall Beach Airport,CYUX,Hall Beach,Canada,68.7761001587,-81.2425
149,YUY,Rouyn Noranda Airport,CYUY,Rouyn,Canada,48.2061004639,-78.8356018066
150,YVC,La Ronge Airport,CYVC,La Ronge,Canada,55.1514015198,-105.262001038
151,YVG,Vermilion Airport,CYVG,Vermillion,Canada,53.3558006287,-110.823997498
152,YVM,Qikiqtarjuaq Airport,CYVM,Broughton Island,Canada,67.5457992554,-64.0314025879
153,YVO,Val-d'Or Airport,CYVO,Val D'or,Canada,48.0532989502,-77.7827987671
154,YVP,Kuujjuaq Airport,CYVP,Quujjuaq,Canada,58.0960998535,-68.426902771
155,YVQ,Norman Wells Airport,CYVQ,Norman Wells,Canada,65.2816009521,-126.797996521
156,YVR,Vancouver International Airport,CYVR,Vancouver,Canada,49.193901062,-123.183998108
157,YVT,Buffalo Narrows Airport,CYVT,Buffalo Narrows,Canada,55.8418998718,-108.417999268
158,YVV,Wiarton Airport,CYVV,Wiarton,Canada,44.7458,-81.107201
159,YWA,Petawawa Airport,CYWA,Petawawa,Canada,45.9522018433,-77.3191986084
160,YWG,Winnipeg / James Armstrong Richardson International Airport,CYWG,Winnipeg,Canada,49.9099998474,-97.2398986816
161,YWK,Wabush Airport,CYWK,Wabush,Canada,52.9219017029,-66.864402771
162,YWL,Williams Lake Airport,CYWL,Williams Lake,Canada,52.1831016541,-122.054000854
163,YWY,Wrigley Airport,CYWY,Wrigley,Canada,63.209400177,-123.43699646
164,YXC,Cranbrook/Canadian Rockies International Airport,CYXC,Cranbrook,Canada,49.6108016968,-115.7819976807
165,YXD,Edmonton City Centre (Blatchford Field) Airport,CYXD,Edmonton,Canada,53.5724983215,-113.521003723
166,YXE,Saskatoon John G. Diefenbaker International Airport,CYXE,Saskatoon,Canada,52.1707992554,-106.6999969482
167,YXH,Medicine Hat Airport,CYXH,Medicine Hat,Canada,50.018901825,-110.7210006714
168,YXJ,Fort St John Airport,CYXJ,Fort Saint John,Canada,56.2380981445,-120.7399978638
169,YXL,Sioux Lookout Airport,CYXL,Sioux Lookout,Canada,50.113899231,-91.9052963257
170,YXP,Pangnirtung Airport,CYXP,Pangnirtung,Canada,66.1449966431,-65.7136001587
171,YXR,Earlton (Timiskaming Regional) Airport,CYXR,Earlton,Canada,47.6974006546,-79.8473453522
172,YXS,Prince George Airport,CYXS,Prince George,Canada,53.8894004822,-122.679000854
173,YXT,Northwest Regional Airport Terrace-Kitimat,CYXT,Terrace,Canada,54.468498,-128.576009
174,YXU,London Airport,CYXU,London,Canada,43.035599,-81.1539
175,YXX,Abbotsford Airport,CYXX,Abbotsford,Canada,49.0252990723,-122.361000061
176,YXY,Whitehorse / Erik Nielsen International Airport,CYXY,Whitehorse,Canada,60.7095985413,-135.067001343
177,YYB,North Bay Jack Garland Airport,CYYB,North Bay,Canada,46.363602,-79.422798
178,YYC,Calgary International Airport,CYYC,Calgary,Canada,51.113899231,-114.019996643
179,YYD,Smithers Airport,CYYD,Smithers,Canada,54.8246994019,-127.1829986572
180,YYE,Fort Nelson Airport,CYYE,Fort Nelson,Canada,58.8363990784,-122.597000122
181,YYF,Penticton Airport,CYYF,Penticton,Canada,49.4631004333,-119.6019973755
182,YYG,Charlottetown Airport,CYYG,Charlottetown,Canada,46.2900009155,-63.1211013794
183,YYH,Taloyoak Airport,CYYH,Spence Bay,Canada,69.5466995239,-93.5766983032
184,YYJ,Victoria International Airport,CYYJ,Victoria,Canada,48.646900177,-123.426002502
185,YYL,Lynn Lake Airport,CYYL,Lynn Lake,Canada,56.863899231,-101.0759963989
186,YYN,Swift Current Airport,CYYN,Swift Current,Canada,50.2919006348,-107.691001892
187,YYQ,Churchill Airport,CYYQ,Churchill,Canada,58.739200592,-94.0650024414
188,YYR,Goose Bay Airport,CYYR,Goose Bay,Canada,53.3191986084,-60.4258003235
189,YYT,St. John's International Airport,CYYT,St. John's,Canada,47.618598938,-52.7518997192
190,YYU,Kapuskasing Airport,CYYU,Kapuskasing,Canada,49.413898468,-82.4674987793
191,YYW,Armstrong Airport,CYYW,Armstrong,Canada,50.2902984619,-88.9096984863
192,YYY,Mont Joli Airport,CYYY,Mont Joli,Canada,48.6086006165,-68.2080993652
193,YYZ,Lester B. Pearson International Airport,CYYZ,Toronto,Canada,43.6772003174,-79.6305999756
194,YZD,Downsview Airport,CYZD,Toronto,Canada,43.7425003052,-79.4655990601
195,YZE,Gore Bay Manitoulin Airport,CYZE,Gore Bay,Canada,45.8852996826,-82.5678024292
196,YZF,Yellowknife Airport,CYZF,Yellowknife,Canada,62.4627990723,-114.4400024414
197,YZH,Slave Lake Airport,CYZH,Slave Lake,Canada,55.2930984497,-114.777000427
198,YZP,Sandspit Airport,CYZP,Sandspit,Canada,53.2542991638,-131.813995361
199,YZR,Chris Hadfield Airport,CYZR,Sarnia,Canada,42.9994010925,-82.3088989258
200,YZT,Port Hardy Airport,CYZT,Port Hardy,Canada,50.6805992126,-127.3669967651
201,YZU,Whitecourt Airport,CYZU,Whitecourt,Canada,54.143901825,-115.7870025635
202,YZV,Sept-Îles Airport,CYZV,Sept-iles,Canada,50.2233009338,-66.2656021118
203,YZW,Teslin Airport,CYZW,Teslin,Canada,60.1727981567,-132.7429962158
204,YZX,CFB Greenwood,CYZX,Greenwood,Canada,44.9844017029,-64.9169006348
205,ZFA,Faro Airport,CZFA,Faro,Canada,62.2075004578,-133.3760070801
206,ZFM,Fort Mcpherson Airport,CZFM,Fort Mcpherson,Canada,67.4075012207,-134.8609924316
207,QLD,Blida Airport,DAAB,Blida,Algeria,36.5036010742,2.8141698837
208,BUJ,Bou Saada Airport,DAAD,Bou Saada,Algeria,35.3325004578,4.206389904
209,BJA,Soummam Airport,DAAE,Bejaja,Algeria,36.7120018005,5.069920063
210,ALG,Houari Boumediene Airport,DAAG,Algier,Algeria,36.6910018921,3.2154099941
211,DJG,Djanet Inedbirene Airport,DAAJ,Djanet,Algeria,24.292801,9.45244
212,,Boufarik Airport,DAAK,Boufarik,Algeria,36.545799,2.87611
213,,Reggane Airport,DAAN,Reggan,Algeria,26.7101,0.285647
214,VVZ,Illizi Takhamalt Airport,DAAP,Illizi,Algeria,26.7234992981,8.6226501465
215,,Ain Oussera Airport,DAAQ,Ain Oussera,Algeria,35.5253982544,2.8787100315
216,TMR,Aguenar – Hadj Bey Akhamok Airport,DAAT,Tamanrasset,Algeria,22.8115005493,5.4510798454
217,GJL,Jijel Ferhat Abbas Airport,DAAV,Jijel,Algeria,36.7951011658,5.8736100197
218,MZW,Mecheria Airport,DAAY,Mecheria,Algeria,33.535900116,-0.2423530072
219,,Relizane Airport,DAAZ,Relizane,Algeria,35.752201,0.626272
220,AAE,Rabah Bitat Airport,DABB,Annaba,Algeria,36.822201,7.809174
221,CZL,Mohamed Boudiaf International Airport,DABC,Constantine,Algeria,36.2760009766,6.6203899384
222,TEE,Cheikh Larbi Tébessi Airport,DABS,Tebessa,Algeria,35.4315986633,8.1207199097
224,HRM,Hassi R'Mel Airport,DAFH,Tilrempt,Algeria,32.9304008484,3.3115398884
225,TID,Bou Chekif Airport,DAOB,Tiaret,Algeria,35.3410987854,1.4631500244
226,,Bou Sfer Airport,DAOE,Bou Sfer,Algeria,35.7354011536,-0.8053889871
227,TIN,Tindouf Airport,DAOF,Tindouf,Algeria,27.7003993988,-8.1670999527
228,CFK,Ech Cheliff Airport,DAOI,Ech-cheliff,Algeria,36.2126998901,1.3317699432
229,TAF,Tafaraoui Airport,DAOL,Oran,Algeria,35.5424003601,-0.5322780013
230,TLM,Zenata – Messali El Hadj Airport,DAON,Tlemcen,Algeria,35.0167007446,-1.4500000477
231,ORN,Es Senia Airport,DAOO,Oran,Algeria,35.6239013672,-0.6211829782
232,BFW,Sidi Bel Abbes Airport,DAOS,Sidi Bel Abbes,Algeria,35.1717987061,-0.5932750106
233,MUW,Ghriss Airport,DAOV,Ghriss,Algeria,35.207698822,0.147141993
234,AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,DAUA,Adrar,Algeria,27.837600708,-0.1864140034
235,BSK,Biskra Airport,DAUB,Biskra,Algeria,34.7933006287,5.7382302284
236,ELG,El Golea Airport,DAUE,El Golea,Algeria,30.5713005066,2.8595900536
237,GHA,Noumérat - Moufdi Zakaria Airport,DAUG,Ghardaia,Algeria,32.3841018677,3.7941100597
238,HME,Oued Irara Airport,DAUH,Hassi Messaoud,Algeria,31.6730003357,6.1404399872
239,INZ,In Salah Airport,DAUI,In Salah,Algeria,27.2509994507,2.5120201111
240,TGR,Touggourt Sidi Madhi Airport,DAUK,Touggourt,Algeria,33.0677986145,6.0886697769
241,LOO,Laghouat Airport,DAUL,Laghouat,Algeria,33.7644004822,2.9283399582
242,TMX,Timimoun Airport,DAUT,Timimoun,Algeria,29.2371006012,0.2760330141
243,OGX,Ain el Beida Airport,DAUU,Ouargla,Algeria,31.9172000885,5.412779808
244,IAM,In Aménas Airport,DAUZ,Zarzaitine,Algeria,28.0515,9.64291
245,COO,Cadjehoun Airport,DBBB,Cotonou,Benin,6.3572301865,2.3843500614
246,OUA,Ouagadougou Airport,DFFD,Ouagadougou,Burkina Faso,12.3532,-1.51242
247,BOY,Bobo Dioulasso Airport,DFOO,Bobo-dioulasso,Burkina Faso,11.1600999832,-4.3309698105
248,ACC,Kotoka International Airport,DGAA,Accra,Ghana,5.6051898003,-0.1667860001
249,TML,Tamale Airport,DGLE,Tamale,Ghana,9.5571899414,-0.863214016
250,,Wa Airport,DGLW,Wa,Ghana,10.0826997757,-2.5076899529
251,NYI,Sunyani Airport,DGSN,Sunyani,Ghana,7.3618302345,-2.3287599087
252,TKD,Takoradi Airport,DGTK,Takoradi,Ghana,4.8960599899,-1.7747600079
253,ABJ,Port Bouet Airport,DIAP,Abidjan,Cote d'Ivoire,5.2613902092,-3.9262900352
254,BYK,Bouaké Airport,DIBK,Bouake,Cote d'Ivoire,7.7388000488,-5.0736699104
255,DJO,Daloa Airport,DIDL,Daloa,Cote d'Ivoire,6.7928099632,-6.4731898308
256,HGO,Korhogo Airport,DIKO,Korhogo,Cote d'Ivoire,9.3871803284,-5.5566601753
257,MJC,Man Airport,DIMN,Man,Cote d'Ivoire,7.272069931,-7.5873599052
258,SPY,San Pedro Airport,DISP,San Pedro,Cote d'Ivoire,4.7467198372,-6.6608200073
259,ASK,Yamoussoukro Airport,DIYO,Yamoussoukro,Cote d'Ivoire,6.9031701088,-5.3655800819
260,ABV,Nnamdi Azikiwe International Airport,DNAA,Abuja,Nigeria,9.0067901611,7.2631697655
261,AKR,Akure Airport,DNAK,Akure,Nigeria,7.2467398643,5.3010101318
262,BNI,Benin Airport,DNBE,Benin,Nigeria,6.3169798851,5.5995001793
263,CBQ,Margaret Ekpo International Airport,DNCA,Calabar,Nigeria,4.9760198593,8.3472003937
264,ENU,Akanu Ibiam International Airport,DNEN,Enugu,Nigeria,6.4742698669,7.5619602203
265,,Gusau Airport,DNGU,Gusau,Nigeria,12.1717,6.69611
266,IBA,Ibadan Airport,DNIB,Ibadan,Nigeria,7.3624601364,3.9783298969
267,ILR,Ilorin International Airport,DNIL,Ilorin,Nigeria,8.4402103424,4.4939198494
268,JOS,Yakubu Gowon Airport,DNJO,Jos,Nigeria,9.6398296356,8.8690500259
269,KAD,Kaduna Airport,DNKA,Kaduna,Nigeria,10.6960000992,7.3201098442
270,KAN,Mallam Aminu International Airport,DNKN,Kano,Nigeria,12.0476,8.52462
271,MIU,Maiduguri International Airport,DNMA,Maiduguri,Nigeria,11.8552999496,13.0809001923
272,MDI,Makurdi Airport,DNMK,Makurdi,Nigeria,7.70388,8.61394
273,LOS,Murtala Muhammed International Airport,DNMM,Lagos,Nigeria,6.5773701668,3.321160078
274,MXJ,Minna Airport,DNMN,Minna,Nigeria,9.6521701813,6.4622597694
275,PHC,Port Harcourt International Airport,DNPO,Port Hartcourt,Nigeria,5.0154900551,6.9495902061
276,SKO,Sadiq Abubakar III International Airport,DNSO,Sokoto,Nigeria,12.9162998199,5.2071900368
277,YOL,Yola Airport,DNYO,Yola,Nigeria,9.2575502396,12.4303998947
278,ZAR,Zaria Airport,DNZA,Zaria,Nigeria,11.1302,7.68581
279,MFQ,Maradi Airport,DRRM,Maradi,Niger,13.5024995804,7.1267499924
280,NIM,Diori Hamani International Airport,DRRN,Niamey,Niger,13.4815,2.18361
281,THZ,Tahoua Airport,DRRT,Tahoua,Niger,14.8756999969,5.2653598785
282,AJY,Mano Dayak International Airport,DRZA,Agadez,Niger,16.9659996033,8.0001096725
283,,Dirkou Airport,DRZD,Dirkou,Niger,18.9687004089,12.8687000275
284,,Diffa Airport,DRZF,Diffa,Niger,13.3729000092,12.6267004013
285,ZND,Zinder Airport,DRZR,Zinder,Niger,13.7790002823,8.9837598801
286,MIR,Monastir Habib Bourguiba International Airport,DTMB,Monastir,Tunisia,35.7580986023,10.754699707
287,TUN,Tunis Carthage International Airport,DTTA,Tunis,Tunisia,36.8510017395,10.2271995544
288,,Sidi Ahmed Air Base,DTTB,Bizerte,Tunisia,37.245398,9.79145
289,,Remada Air Base,DTTD,Remada,Tunisia,32.3061981201,10.3821001053
290,GAF,Gafsa Ksar International Airport,DTTF,Gafsa,Tunisia,34.422000885,8.8225002289
291,GAE,Gabès Matmata International Airport,DTTG,Gabes,Tunisia,33.8768997192,10.1033000946
292,,Borj El Amri Airport,DTTI,Bordj El Amri,Tunisia,36.7212982178,9.9431495667
293,DJE,Djerba Zarzis International Airport,DTTJ,Djerba,Tunisia,33.875,10.7755002975
294,EBM,El Borma Airport,DTTR,El Borma,Tunisia,31.7042999268,9.2546195984
295,SFA,Sfax Thyna International Airport,DTTX,Sfax,Tunisia,34.7179985046,10.6909999847
296,TOE,Tozeur Nefta International Airport,DTTZ,Tozeur,Tunisia,33.9397010803,8.1105604172
