flight_id,flight_number,flight_duration,departure_time,departure_date,airline_id,airport_src,airport_dst,aircraft_id
172,TK1800,191 minutes,18:00:00,2018-12-26T00:00:00,4951,1701,2176,16
173,XQ2030,213 minutes,20:30:00,2018-01-21T00:00:00,4573,421,1706,74
174,ME1830,189 minutes,18:30:00,2018-12-29T00:00:00,3490,2177,2188,14
175,S71445,178 minutes,14:45:00,2019-01-02T00:00:00,4329,4029,1486,14
176,O62015,64 minutes,20:15:00,2015-10-20T00:00:00,3764,2621,2604,14
177,AS1015,80 minutes,10:15:00,2018-12-22T00:00:00,439,3720,4216,151
178,BE1345,47 minutes,13:45:00,2013-11-13T00:00:00,2421,430,421,6
179,FR2230,209 minutes,22:30:00,2018-04-11T00:00:00,4296,355,1075,74
180,LH1345,75 minutes,13:45:00,2016-05-05T00:00:00,3320,891,260,26
181,W61600,83 minutes,16:00:00,2010-04-02T00:00:00,5461,460,668,14
182,LA1145,44 minutes,11:45:00,2018-10-05T00:00:00,3200,2452,2650,12
183,UL1145,544 minutes,11:45:00,2017-10-02T00:00:00,4349,2279,3024,26
184,SQ1945,395 minutes,19:45:00,2010-05-26T00:00:00,4435,3316,3992,20
185,U22200,66 minutes,22:00:00,2016-06-23T00:00:00,2297,478,580,12
186,KL2030,725 minutes,20:30:00,2017-09-01T00:00:00,3090,3383,580,93
187,BC1800,67 minutes,18:00:00,2014-05-03T00:00:00,4740,3943,2281,63
188,VS2230,48 minutes,22:30:00,2017-10-23T00:00:00,5347,507,478,14
189,V71830,71 minutes,18:30:00,2018-06-22T00:00:00,20577,1520,1551,58
190,LA0600,68 minutes,06:00:00,2017-11-08T00:00:00,3200,2642,2665,14
191,IR1515,157 minutes,15:15:00,2019-01-07T00:00:00,2922,2983,4330,14
192,KL0900,73 minutes,09:00:00,2018-12-08T00:00:00,3090,4092,2551,63
193,LA1800,93 minutes,18:00:00,2012-08-04T00:00:00,3200,2645,2662,14
194,OS2030,144 minutes,20:30:00,2018-01-09T00:00:00,491,1613,1474,14
195,PK1845,471 minutes,18:45:00,2018-08-04T00:00:00,3871,1382,2223,93
196,XK1630,105 minutes,16:30:00,2017-03-13T00:00:00,1909,1324,1418,14
197,ST0630,194 minutes,06:30:00,2018-11-29T00:00:00,2547,7821,345,73
198,Y41815,79 minutes,18:15:00,2015-01-23T00:00:00,5325,1825,1797,14
199,TO2200,199 minutes,22:00:00,2018-11-14T00:00:00,8745,1064,1386,14
200,KQ1715,528 minutes,17:15:00,2016-08-13T00:00:00,3126,580,4059,94
201,U21600,98 minutes,16:00:00,2017-02-16T00:00:00,2297,346,502,14
202,BM2130,109 minutes,21:30:00,2018-10-28T00:00:00,312,687,469,181
203,LX0715,57 minutes,07:15:00,2016-09-07T00:00:00,4559,1678,1551,46
204,KL1200,725 minutes,12:00:00,2017-10-11T00:00:00,3090,3383,580,93
205,ME0715,264 minutes,07:15:00,2018-10-03T00:00:00,3490,2177,302,14
206,AT2245,209 minutes,22:45:00,2015-06-30T00:00:00,4248,1074,1050,74
207,HG1000,154 minutes,10:00:00,2018-12-04T00:00:00,3661,1613,1246,14
208,TK0915,119 minutes,09:15:00,2018-11-29T00:00:00,4951,5796,1701,74
209,CZ0945,614 minutes,09:45:00,2018-11-20T00:00:00,1767,580,3364,19
210,FR1600,109 minutes,16:00:00,2018-09-01T00:00:00,4296,1236,304,74
211,PZ1015,95 minutes,10:15:00,2018-09-07T00:00:00,5156,2564,4305,14
212,OU0730,49 minutes,07:30:00,2016-10-11T00:00:00,1925,1613,1208,151
213,LA1500,154 minutes,15:00:00,2017-01-03T00:00:00,3200,2641,2650,14
214,NX1645,253 minutes,16:45:00,2018-12-10T00:00:00,316,3121,2279,12
215,AF1400,552 minutes,14:00:00,2012-01-03T00:00:00,137,1382,2997,19
216,AZ2200,122 minutes,22:00:00,2016-09-10T00:00:00,596,1509,1335,14
217,EY1300,251 minutes,13:00:00,2018-08-18T00:00:00,2222,2179,3144,16
218,UA2130,640 minutes,21:30:00,2017-08-27T00:00:00,5209,3988,3550,91
219,IR1430,238 minutes,14:30:00,2018-02-26T00:00:00,2922,2997,4330,84
220,TP1845,140 minutes,18:45:00,2018-08-08T00:00:00,4869,1524,1636,185
221,OS0845,63 minutes,08:45:00,2018-11-11T00:00:00,491,340,1611,169
222,US1730,106 minutes,17:30:00,2018-08-12T00:00:00,5265,1845,3670,181
223,TN2200,735 minutes,22:00:00,2013-09-21T00:00:00,225,4075,2279,26
224,PY0600,90 minutes,06:00:00,2018-11-21T00:00:00,4752,2526,2774,69
225,BC2215,67 minutes,22:15:00,2014-06-03T00:00:00,4740,2281,3943,63
226,ZH0745,60 minutes,07:45:00,2014-06-08T00:00:00,4611,3382,3381,74
227,TK0830,179 minutes,08:30:00,2017-10-22T00:00:00,4951,1701,629,74
228,S71530,193 minutes,15:30:00,2018-11-12T00:00:00,4329,4029,1550,74
229,CZ1045,145 minutes,10:45:00,2018-10-01T00:00:00,1767,4380,2279,16
230,K20930,110 minutes,09:30:00,2018-06-04T00:00:00,2245,669,580,151
231,FB0630,153 minutes,06:30:00,2015-08-11T00:00:00,1548,1191,2985,14
232,OA1515,52 minutes,15:15:00,2018-07-04T00:00:00,3776,1458,3941,14
233,FR2100,188 minutes,21:00:00,2018-12-16T00:00:00,4296,1474,3959,74
234,TK1730,145 minutes,17:30:00,2019-01-21T00:00:00,4951,3959,1701,12
235,TK1545,103 minutes,15:45:00,2018-12-02T00:00:00,4951,1701,2177,75
236,AY1930,508 minutes,19:30:00,2019-01-15T00:00:00,2350,3379,421,20
237,AT0915,239 minutes,09:15:00,2018-12-31T00:00:00,4248,1074,1059,73
238,HU1200,397 minutes,12:00:00,2018-10-04T00:00:00,2660,1665,2179,20
239,G51945,93 minutes,19:45:00,2017-12-17T00:00:00,15837,3404,7503,122
240,AY0630,40 minutes,06:30:00,2011-08-24T00:00:00,2350,421,458,6
241,SV0745,139 minutes,07:45:00,2018-12-24T00:00:00,4533,2082,2177,20
242,AD1815,55 minutes,18:15:00,2018-07-10T00:00:00,13983,2624,8258,3
243,MO0600,139 minutes,06:00:00,2014-02-03T00:00:00,502,132,160,182
244,V00900,106 minutes,09:00:00,2018-12-29T00:00:00,1886,2709,2851,169
245,OS2000,106 minutes,20:00:00,2018-11-24T00:00:00,491,1613,1508,14
246,VS2130,581 minutes,21:30:00,2018-12-29T00:00:00,5347,3361,3077,28
247,AR1815,137 minutes,18:15:00,2019-01-03T00:00:00,412,2442,2488,169
248,MT0630,183 minutes,06:30:00,2018-12-30T00:00:00,4897,7447,469,87
249,JU2045,153 minutes,20:45:00,2017-02-28T00:00:00,19582,1739,737,12
250,U20645,159 minutes,06:45:00,2018-10-17T00:00:00,2297,3941,1665,12
251,UA2200,562 minutes,22:00:00,2018-11-29T00:00:00,5209,3830,1678,20
252,NH1900,43 minutes,19:00:00,2015-02-02T00:00:00,324,2304,2305,149
253,G51800,61 minutes,18:00:00,2015-05-27T00:00:00,15837,3372,6351,122
254,ST2230,231 minutes,22:30:00,2016-04-29T00:00:00,2547,2177,337,73
255,2N1630,61 minutes,16:30:00,2018-08-11T00:00:00,3652,737,722,5
256,TU1700,194 minutes,17:00:00,2018-10-10T00:00:00,4870,293,342,12
257,UA1245,142 minutes,12:45:00,2013-02-24T00:00:00,5209,3550,3636,121
258,W62000,131 minutes,20:00:00,2019-01-07T00:00:00,5461,1657,1524,14
259,LA1545,54 minutes,15:45:00,2018-02-16T00:00:00,3200,2651,2649,12
260,LS1100,253 minutes,11:00:00,2018-12-21T00:00:00,3026,1472,517,87
261,U20930,113 minutes,09:30:00,2018-12-26T00:00:00,2297,1739,1665,12
262,G91815,191 minutes,18:15:00,2018-01-09T00:00:00,329,2191,3093,14
263,U20945,202 minutes,09:45:00,2014-05-15T00:00:00,2297,1638,337,12
264,DL1300,160 minutes,13:00:00,2017-11-11T00:00:00,2009,49,3858,166
265,TU2030,102 minutes,20:30:00,2017-08-27T00:00:00,4870,286,1353,72
266,KL1345,764 minutes,13:45:00,2018-05-17T00:00:00,3090,2673,580,93
267,W31415,60 minutes,14:15:00,2018-07-05T00:00:00,20976,260,6972,151
268,LY1845,277 minutes,18:45:00,2018-05-23T00:00:00,2150,580,1590,75
269,8R0645,79 minutes,06:45:00,2017-04-19T00:00:00,5188,2487,2496,230
270,W30830,62 minutes,08:30:00,2013-08-11T00:00:00,20976,275,273,74
271,MS1945,77 minutes,19:45:00,2018-12-08T00:00:00,2143,2177,3410,165
272,SU1345,261 minutes,13:45:00,2016-06-07T00:00:00,130,4078,2948,14
273,4U1345,192 minutes,13:45:00,2018-10-13T00:00:00,2548,1479,344,12
274,ST2145,272 minutes,21:45:00,2011-02-02T00:00:00,2547,339,1051,73
275,YC1745,198 minutes,17:45:00,2018-01-28T00:00:00,9828,4029,4365,71
276,VA0815,102 minutes,08:15:00,2018-08-04T00:00:00,5360,3361,4052,169
277,LX0845,122 minutes,08:45:00,2013-01-18T00:00:00,4559,1229,1678,14
278,W32000,77 minutes,20:00:00,2018-12-22T00:00:00,20976,269,273,122
279,AY0830,140 minutes,08:30:00,2018-12-06T00:00:00,2350,1489,421,12
280,VY1430,108 minutes,14:30:00,2018-11-20T00:00:00,2439,1246,1386,14
281,SU2015,149 minutes,20:15:00,2018-07-28T00:00:00,130,337,2985,74
282,AB1900,156 minutes,19:00:00,2018-10-17T00:00:00,214,338,7447,74
283,AD0615,65 minutes,06:15:00,2018-09-12T00:00:00,13983,2525,2564,6
284,OA1930,49 minutes,19:30:00,2016-09-03T00:00:00,3776,1469,3941,14
285,TK2030,97 minutes,20:30:00,2018-10-10T00:00:00,4951,1728,1682,74
286,PC1045,193 minutes,10:45:00,2018-01-30T00:00:00,3926,4317,304,14
287,FR1915,83 minutes,19:15:00,2018-12-21T00:00:00,4296,1525,1519,74
288,AR1215,123 minutes,12:15:00,2017-10-29T00:00:00,412,2443,2513,63
289,WF1015,34 minutes,10:15:00,2014-10-12T00:00:00,5439,4327,4326,149
290,AR2015,86 minutes,20:15:00,2018-11-16T00:00:00,412,2487,2509,63
291,TU1000,125 minutes,10:00:00,2019-01-29T00:00:00,4870,346,287,72
292,UA0845,295 minutes,08:45:00,2018-08-21T00:00:00,5209,3494,1871,75
293,NH1715,536 minutes,17:15:00,2018-01-14T00:00:00,324,2997,2279,63
294,SG0800,54 minutes,08:00:00,2018-07-02T00:00:00,4375,6173,3040,63
295,BE1315,64 minutes,13:15:00,2017-03-11T00:00:00,2421,421,433,6
296,HG2030,110 minutes,20:30:00,2014-11-26T00:00:00,3661,1470,1613,169
297,LA2145,98 minutes,21:45:00,2018-08-28T00:00:00,3200,2665,2650,14
298,LS2115,253 minutes,21:15:00,2018-12-30T00:00:00,3026,1472,517,87
299,MU1215,175 minutes,12:15:00,2017-08-16T00:00:00,1758,3077,4085,14
300,TK0730,157 minutes,07:30:00,2018-08-12T00:00:00,4951,1701,7490,74
301,SC2200,131 minutes,22:00:00,2010-11-22T00:00:00,4599,3992,3390,91
302,Y40900,201 minutes,09:00:00,2018-10-27T00:00:00,5325,1824,1847,14
303,AS1745,41 minutes,17:45:00,2018-04-30T00:00:00,439,3577,184,151
304,US1145,860 minutes,11:45:00,2010-05-23T00:00:00,5265,3469,3077,97
305,JD2245,101 minutes,22:45:00,2018-08-12T00:00:00,6557,3371,4120,14
306,Y41215,140 minutes,12:15:00,2017-06-05T00:00:00,5325,1847,1826,14
307,2N1145,60 minutes,11:45:00,2018-08-07T00:00:00,3652,711,644,230
308,U21045,77 minutes,10:45:00,2018-07-30T00:00:00,2297,1529,1386,14
309,LA1015,52 minutes,10:15:00,2018-02-09T00:00:00,3200,2753,2709,149
310,SX1845,97 minutes,18:45:00,2018-01-19T00:00:00,18543,1676,3998,184
311,O60615,168 minutes,06:15:00,2011-04-02T00:00:00,3764,2560,2610,11
312,KE1445,682 minutes,14:45:00,2017-03-03T00:00:00,3163,3930,1678,97
313,PC1000,198 minutes,10:00:00,2018-12-26T00:00:00,3926,302,1706,74
314,BG2215,576 minutes,22:15:00,2016-11-30T00:00:00,1359,1555,3076,96
315,ME1415,90 minutes,14:15:00,2017-08-03T00:00:00,3490,2177,4130,16
316,AD0645,61 minutes,06:45:00,2018-12-04T00:00:00,13983,7367,2548,170
317,A21615,57 minutes,16:15:00,2019-01-02T00:00:00,19804,1486,1450,52
318,XQ0800,157 minutes,08:00:00,2019-01-28T00:00:00,4573,1688,1613,74
319,SV1130,134 minutes,11:30:00,2019-01-13T00:00:00,4533,2072,2177,14
320,TK1530,63 minutes,15:30:00,2013-01-31T00:00:00,4951,1243,1216,14
321,AT0630,180 minutes,06:30:00,2016-11-26T00:00:00,4248,580,5673,74
322,OU1415,82 minutes,14:15:00,2018-07-31T00:00:00,1925,1203,340,12
323,LX1600,122 minutes,16:00:00,2018-11-20T00:00:00,4559,1678,1229,14
324,U21745,102 minutes,17:45:00,2018-03-27T00:00:00,2297,492,1359,12
325,US1745,631 minutes,17:45:00,2019-01-23T00:00:00,5265,3797,1701,18
326,UA1400,276 minutes,14:00:00,2013-03-01T00:00:00,5209,3494,1767,74
327,SN0745,77 minutes,07:45:00,2018-12-14T00:00:00,1531,351,302,14
328,AY0915,41 minutes,09:15:00,2014-07-16T00:00:00,2350,421,460,5
