flight_booking_id,flight_id,trip_id,seat,price,travel_class
6822,2221,89,30H,1124,business
272,5588,89,10H,724,economy
8037,5663,90,39D,444,business
113,1849,90,4F,44,economy
6158,8016,91,6B,254,economy
2919,7032,91,25G,654,business
5535,2994,92,1A,326,economy
3667,5813,92,43C,726,business
4919,1161,93,6H,775,economy
1280,162,93,43I,1175,business
7038,1453,94,1B,69,economy
3013,5682,94,10A,69,economy
3607,1112,95,8D,53,economy
1296,3013,95,1J,53,economy
1135,5383,96,40B,428,business
2932,7690,96,4F,28,economy
4328,6024,97,37H,422,business
2761,7551,97,13D,422,business
3336,5623,98,34D,636,business
2551,4531,98,17D,636,business
5132,3769,99,12G,489,business
4081,6001,99,2H,89,economy
3522,1504,100,4D,265,economy
6733,4115,100,33B,665,business
5938,4407,101,13C,606,business
188,1922,101,22G,606,business
6536,5685,102,23I,576,business
1044,7106,102,7H,176,economy
2762,3645,103,1C,152,economy
3023,7014,103,40E,552,business
4411,5323,104,4D,166,economy
5706,6653,104,5C,166,economy
7696,2400,105,5B,400,economy
6579,4279,105,30F,800,business
7471,2198,106,11F,525,business
5515,4856,106,11I,525,business
2875,8107,107,34F,420,business
1339,6172,107,26B,420,business
236,6836,108,8A,77,economy
7963,6265,108,5J,77,economy
2878,7416,109,42C,478,business
2090,5215,109,26H,478,business
6442,4857,110,10J,197,economy
1180,5083,110,6B,197,economy
5155,2814,111,4F,199,economy
4665,6059,111,4D,199,economy
7102,1573,112,16G,733,business
6064,4122,112,5C,333,economy
4686,483,113,39D,509,business
6050,527,113,7I,109,economy
4462,1885,114,31A,552,business
1808,3689,114,23C,552,business
5333,7063,115,28C,1095,business
2139,7833,115,1F,695,economy
1158,2999,116,16I,561,business
2698,5911,116,39F,561,business
5160,787,117,26C,551,business
2793,5732,117,3B,151,economy
4107,7423,118,25D,775,business
274,1264,118,13H,775,business
6136,2394,119,37F,596,business
7524,7248,119,4H,196,economy
7290,441,120,8J,58,economy
5922,813,120,28H,458,business
1908,1474,121,1J,117,economy
1447,2970,121,7E,117,economy
4585,5068,122,5A,481,economy
1948,4228,122,2A,481,economy
7911,4965,123,12C,1135,business
4397,2056,123,6H,735,economy
5728,4864,124,3D,58,economy
7424,5425,124,13B,458,business
415,6676,125,9J,33,economy
7592,2441,125,7B,33,economy
8042,1341,126,3H,78,economy
6420,5227,126,6D,78,economy
7421,1681,127,33D,540,business
3626,7720,127,16C,540,business
1067,3124,128,1H,289,economy
4166,5516,128,5F,289,economy
3488,4735,129,14G,545,business
6179,1357,129,11J,545,business
4474,1761,130,11H,427,business
3430,6913,130,25F,427,business
2204,860,131,12G,1169,business
7643,7533,131,8J,769,economy
7931,6582,132,24I,427,business
7745,2952,132,7E,27,economy
3952,3138,133,17H,517,business
2383,1133,133,15A,517,business
1364,4760,134,31G,557,business
6943,4981,134,11G,557,business
6046,4391,135,6E,278,economy
3617,3340,135,36H,678,business
6324,4370,136,41G,568,business
3395,2618,136,3I,168,economy
5032,994,137,18I,609,business
1377,5710,137,21B,609,business
8066,1975,138,20J,583,business
3217,4674,138,41I,583,business
5537,5108,139,25C,534,business
7494,3552,139,43E,534,business
2113,4453,140,26C,510,business
4782,3315,140,31C,510,business
7637,1403,141,33J,544,business
5469,2041,141,25I,544,business
2149,6261,142,3D,125,economy
7289,1623,142,11A,525,business
4262,1457,143,3H,53,economy
138,4815,143,6C,53,economy
5022,4292,144,41H,536,business
1366,4346,144,2I,136,economy
968,3480,145,11A,432,business
731,5262,145,43A,432,business
1320,761,146,6C,68,economy
6895,2950,146,2A,68,economy
178,7511,147,26G,446,business
4053,6125,147,23B,446,business
7214,6920,148,2B,37,economy
3696,7858,148,32H,437,business
7546,4294,149,6E,35,economy
6696,1434,149,35I,435,business
881,6215,150,20G,457,business
2371,2430,150,18J,457,business
894,5024,151,37F,440,business
4254,2662,151,7J,40,economy
7798,206,152,10C,216,economy
3165,1772,152,34D,616,business
7786,2337,153,22I,488,business
6392,6112,153,5H,88,economy
4634,4103,154,21H,469,business
2535,6776,154,10H,69,economy
2421,6810,155,3J,168,economy
1191,1613,155,42D,568,business
6569,4425,156,6A,103,economy
4450,3425,156,36B,503,business
4996,4591,157,5H,79,economy
6891,2167,157,12I,479,business
5859,3103,158,23B,450,business
120,6141,158,2C,50,economy
854,5225,159,27B,491,business
6122,1201,159,10J,91,economy
4314,2236,160,2I,104,economy
1449,3397,160,4E,104,economy
3409,2044,161,10I,40,economy
6610,6253,161,41E,440,business
2754,3246,162,23A,766,business
5984,3923,162,27A,766,business
5735,2729,163,1J,340,economy
802,5918,163,18A,740,business
3116,4062,164,17D,422,business
76,1735,164,35C,422,business
6236,5070,165,9J,264,economy
451,1802,165,25I,664,business
7115,5429,166,41E,432,business
4439,2290,166,21D,432,business
5786,8090,167,12A,500,business
4998,5037,167,25B,500,business
206,2202,168,40J,428,business
2487,6288,168,41F,428,business
1962,4355,169,3A,151,economy
4393,3826,169,8I,151,economy
8158,163,170,7E,843,economy
6336,5484,170,9I,843,economy
1513,7872,171,14C,441,business
6328,7599,171,22D,441,business
4040,2709,172,1F,165,economy
3303,8031,172,30G,565,business
1734,1186,173,23C,457,business
5719,278,173,43D,457,business
7449,1693,174,20C,457,business
269,7557,174,32D,457,business
845,3521,175,42E,1053,business
1095,7856,175,9B,653,economy
2251,3503,176,6E,70,economy
1787,2717,176,36B,470,business
2601,4284,177,10H,115,economy
4211,1031,177,20D,515,business
2739,999,178,8D,62,economy
471,1458,178,5J,62,economy
2788,3523,179,14H,447,business
1265,7972,179,39I,447,business
1658,4345,180,8J,55,economy
949,3114,180,33F,455,business
3095,2209,181,4B,103,economy
4456,1593,181,18C,503,business
7294,6561,182,1F,29,economy
951,5154,182,6B,29,economy
6093,1332,183,1D,116,economy
4201,6049,183,10I,116,economy
346,2214,184,15D,429,business
3138,5708,184,37D,429,business
7231,4972,185,16D,524,business
3162,2546,185,27E,524,business
5283,3961,186,7I,167,economy
7197,5833,186,29J,567,business
3702,2786,187,6E,83,economy
1864,5667,187,3G,83,economy
958,528,188,35C,483,business
3262,6129,188,31E,483,business
6807,4964,189,5A,547,economy
2014,7443,189,9G,547,economy
2130,7336,190,9F,207,economy
1648,4107,190,17D,607,business
1326,7683,191,30D,489,business
858,6915,191,2E,89,economy
1684,2429,192,23G,449,business
5401,3396,192,12F,449,business
1986,5405,193,1B,183,economy
6320,7727,193,32G,583,business
6482,33,194,24G,509,business
6510,6549,194,2D,109,economy
1131,1251,195,8I,96,economy
2672,5337,195,41B,496,business
2961,6417,196,3B,32,economy
4854,3916,196,17I,432,business
7467,2616,197,14G,459,business
1789,5503,197,3C,59,economy
7532,1079,198,3C,179,economy
2908,7310,198,14B,579,business
5646,1863,199,23B,435,business
5140,7983,199,4B,35,economy
7389,4293,200,2G,703,economy
2540,6999,200,15D,1103,business
2800,6977,201,12E,563,business
6306,6769,201,42A,563,business
8140,5050,202,36I,419,business
1266,3570,202,3E,19,economy
4512,150,203,4A,24,economy
3469,7817,203,21C,424,business
3364,7103,204,5C,134,economy
286,5550,204,4I,134,economy
669,2741,205,14F,512,business
7863,3955,205,42H,512,business
2229,5142,206,8G,176,economy
4127,4071,206,10F,176,economy
2340,4716,207,3F,146,economy
5297,1480,207,17B,546,business
2112,5773,208,34G,564,business
1386,7610,208,8E,164,economy
1692,124,209,19I,1018,business
4583,1058,209,28D,1018,business
7378,1817,210,15D,522,business
6804,7687,210,27B,522,business
8174,1347,211,14D,437,business
7150,4820,211,6A,37,economy
333,5047,212,43A,514,business
6371,6046,212,30G,514,business
3226,2988,213,21G,416,business
6725,546,213,4A,16,economy
1431,1543,214,24J,525,business
6760,104,214,34F,525,business
6302,3945,215,3F,137,economy
2264,1196,215,10B,137,economy
649,4129,216,2I,148,economy
2146,3878,216,2C,148,economy
8080,5512,217,19A,776,business
2446,4318,217,44C,776,business
3218,4872,218,29J,549,business
5631,7760,218,29B,549,business
6218,1875,219,3G,79,economy
4888,5945,219,9D,79,economy
1844,2248,220,42J,504,business
7803,6339,220,22F,504,business
2428,4622,221,3H,113,economy
6222,4694,221,39J,513,business
5886,6316,222,30G,579,business
3519,6765,222,9H,179,economy
1462,8169,223,1E,131,economy
1013,6563,223,32D,531,business
5261,2873,224,6G,14,economy
7169,5495,224,5F,14,economy
694,1947,225,7A,237,economy
6240,7132,225,42G,637,business
2959,1786,226,10I,1001,economy
6461,5431,226,3D,1001,economy
93,8138,227,30A,430,business
5836,1478,227,10B,30,economy
1401,985,228,29E,413,business
4829,5826,228,19C,413,business
1724,6662,229,8E,185,economy
3018,3283,229,20E,585,business
4481,6588,230,4I,142,economy
1337,7388,230,6H,142,economy
1573,2365,231,1A,39,economy
5002,7991,231,8A,39,economy
2926,3194,232,35C,464,business
5887,3312,232,31H,464,business
2963,4100,233,22D,462,business
2740,2170,233,3D,62,economy
5784,1020,234,8I,166,economy
1090,2078,234,9F,166,economy
184,7709,235,9C,605,economy
4059,4699,235,13G,1005,business
1699,5391,236,33H,467,business
204,7657,236,12C,467,business
3057,4665,237,10E,289,economy
5743,3092,237,32G,689,business
771,2939,238,10G,51,economy
2533,3387,238,12A,451,business
3300,3762,239,25G,572,business
2247,7351,239,8F,172,economy
6530,1936,240,43A,472,business
2279,7359,240,39E,472,business
8033,1044,241,4H,102,economy
5025,7718,241,1F,102,economy
4857,7574,242,1J,197,economy
1443,508,242,1H,197,economy
4597,3814,243,10C,114,economy
2485,4706,243,9J,114,economy
7925,1405,244,41D,1118,business
6329,887,244,3D,718,economy
7683,6595,245,9C,156,economy
1767,4881,245,8H,156,economy
6809,6399,246,23H,483,business
5235,3969,246,1H,83,economy
3818,6876,247,2C,32,economy
3061,5090,247,36G,432,business
6145,719,248,43A,415,business
2119,6012,248,36F,415,business
3727,5832,249,2E,13,economy
127,4035,249,19A,413,business
7585,2146,250,14H,1104,business
7616,4076,250,13B,1104,business
7935,2991,251,26F,690,business
2293,2507,251,3H,290,economy
2076,1952,252,7I,161,economy
6640,7209,252,2H,161,economy
1617,1616,253,32F,594,business
5054,4609,253,4F,194,economy
7565,2992,254,36H,429,business
5633,1200,254,8F,29,economy
445,50,255,34G,423,business
3551,2310,255,41I,423,business
4534,7663,256,4H,83,economy
2405,2459,256,9I,83,economy
1463,2122,257,3B,87,economy
747,349,257,1C,87,economy
3658,2329,258,40H,433,business
69,7198,258,8G,33,economy
912,276,259,6G,87,economy
2677,825,259,1B,87,economy
6185,5450,260,31A,458,business
149,1760,260,42F,458,business
4020,2807,261,39G,514,business
685,1510,261,32H,514,business
2515,398,262,7F,196,economy
4932,1381,262,30B,596,business
1118,4091,263,33F,565,business
5058,7083,263,1F,165,economy
3805,4880,264,1B,208,economy
4102,6274,264,42E,608,business
7411,6569,265,41F,778,business
514,6923,265,1D,378,economy
6866,7108,266,32I,500,business
5271,6547,266,9D,100,economy
497,5280,267,1F,430,economy
281,4640,267,6B,430,economy
1616,4127,268,27F,485,business
5327,4660,268,8C,85,economy
7729,1879,269,35D,423,business
820,3274,269,27B,423,business
5055,1152,270,11J,436,business
6953,2631,270,44I,436,business
1124,7050,271,12D,592,business
5335,8067,271,20H,592,business
6196,5477,272,8B,157,economy
3537,5549,272,6C,157,economy
1987,4,273,4G,231,economy
4395,6543,273,30E,631,business
6533,1750,274,4F,82,economy
1060,5397,274,40H,482,business
7619,6506,275,10G,179,economy
5432,6597,275,2H,179,economy
4417,2175,276,20G,587,business
7137,4034,276,9C,187,economy
1761,2325,277,3D,86,economy
4695,716,277,21D,486,business
6684,481,278,5B,117,economy
401,1442,278,15B,517,business
756,892,279,21J,468,business
4671,5116,279,2D,68,economy
7446,1886,280,23I,529,business
518,247,280,7E,129,economy
4977,1034,281,7B,73,economy
8017,936,281,4I,73,economy
2333,1050,282,37D,477,business
82,2452,282,13A,477,business
2429,5886,283,26E,596,business
4576,6879,283,21F,596,business
1432,1775,284,2I,85,economy
5653,7596,284,4H,85,economy
1706,6388,285,2B,404,economy
3003,4489,285,11I,804,business
3581,744,286,16D,1213,business
804,4420,286,10I,813,economy
6738,5837,287,42I,413,business
4880,3681,287,43J,413,business
893,852,288,1J,290,economy
4257,1901,288,37H,690,business
7881,4657,289,11A,423,business
7632,1076,289,30B,423,business
6380,5583,290,37E,639,business
2891,3366,290,39A,639,business
6475,1768,291,5C,89,economy
6253,2526,291,24G,489,business
1025,5510,292,37J,543,business
7122,5385,292,13D,543,business
2642,6489,293,7D,51,economy
623,6577,293,5G,51,economy
219,5987,294,14H,435,business
3835,5504,294,5I,35,economy
7410,6127,295,19G,450,business
795,5974,295,24G,450,business
6249,2476,296,8J,430,economy
4635,1454,296,9G,430,economy
7690,3755,297,10H,68,economy
1782,6960,297,27H,468,business
433,8175,298,8H,49,economy
3779,764,298,30A,449,business
986,7142,299,8F,37,economy
4898,1116,299,9C,37,economy
4129,3612,300,11F,1260,business
7130,3812,300,10E,860,economy
7755,4906,301,8E,41,economy
6896,5810,301,7F,41,economy
7232,3273,302,1G,75,economy
3714,2327,302,9A,75,economy
3735,405,303,23B,709,business
6968,6474,303,10G,309,economy
3665,2166,304,2E,25,economy
586,359,304,33J,425,business
7305,6442,305,10I,32,economy
7321,2910,305,28D,432,business
3292,4587,306,9E,44,economy
6781,3508,306,32I,444,business
141,6762,307,3C,284,economy
1400,391,307,3G,284,economy
1628,5499,308,17D,644,business
4800,22,308,22A,644,business
3640,7968,309,8I,124,economy
1559,2883,309,5H,124,economy
7518,4876,310,10E,64,economy
3695,7740,310,11C,464,business
2599,3406,311,21J,625,business
2617,6791,311,39G,625,business
6823,6631,312,26I,492,business
2286,6990,312,22C,492,business
3815,6924,313,4D,132,economy
7650,7742,313,18F,532,business
7921,7343,314,4A,188,economy
3059,707,314,3I,188,economy
612,4236,315,10H,41,economy
405,6718,315,8F,41,economy
3585,7691,316,44E,502,business
6293,111,316,8F,102,economy
1873,3615,317,14A,574,business
4810,6666,317,3H,174,economy
4171,5081,318,28D,677,business
5517,2029,318,7H,277,economy
1599,8055,319,7I,903,economy
3145,6377,319,42F,1303,business
5638,2425,320,16G,432,business
2977,7051,320,2B,32,economy
3353,5615,321,37D,556,business
1784,6008,321,5E,156,economy
1995,7246,322,9J,104,economy
2034,5539,322,37F,504,business
2606,1956,323,40A,587,business
1841,7006,323,20I,587,business
4276,5879,324,1H,863,economy
667,7725,324,10J,863,economy
4586,2625,325,19F,509,business
3001,3421,325,6F,109,economy
2086,3815,326,36I,443,business
1613,2998,326,7F,43,economy
108,4838,327,17J,452,business
121,3339,327,28J,452,business
395,6853,328,3G,88,economy
7566,2730,328,32E,488,business
2372,1311,329,5A,42,economy
117,7294,329,29I,442,business
2999,7854,330,14G,545,business
1254,3159,330,4I,145,economy
7409,4887,331,8E,47,economy
3883,1822,331,19H,447,business
1395,2194,332,31A,621,business
5619,4570,332,10D,221,economy
6049,2217,333,20G,435,business
1537,6930,333,8E,35,economy
4133,6084,334,31D,464,business
816,1554,334,2I,64,economy
91,1005,335,15G,473,business
2892,7333,335,2E,73,economy
399,1087,336,34F,486,business
2930,305,336,1F,86,economy
7944,1587,337,12G,493,business
7480,24,337,3B,93,economy
1812,4652,338,36I,556,business
1335,6268,338,28G,556,business
1412,4240,339,8I,116,economy
1444,1555,339,3J,116,economy
4356,375,340,33A,653,business
484,2080,340,4G,253,economy
7715,703,341,1C,113,economy
5764,998,341,9B,113,economy
4282,8069,342,1F,154,economy
1902,2936,342,4I,154,economy
7039,6584,343,13D,766,business
5436,2409,343,4F,366,economy
2337,1065,344,8A,20,economy
7196,7236,344,3G,20,economy
6436,4108,345,13I,484,business
1165,6120,345,1C,84,economy
4660,7405,346,1D,831,economy
7432,5957,346,3G,831,economy
4006,5094,347,2I,62,economy
1160,1354,347,6F,62,economy
6754,498,348,35F,428,business
2214,6448,348,17B,428,business
2497,4252,349,1F,947,economy
8128,1272,349,5G,947,economy
1803,7843,350,14I,542,business
6881,8047,350,10J,142,economy
537,4941,351,12F,533,business
314,5247,351,15F,533,business
8069,1315,352,1B,46,economy
6208,5278,352,4D,46,economy
3308,1803,353,19G,446,business
2795,6842,353,3C,46,economy
1504,6860,354,7G,58,economy
7133,5714,354,8C,58,economy
2895,4486,355,12J,515,business
5030,1027,355,1B,115,economy
2158,1978,356,40C,528,business
680,5882,356,29G,528,business
1666,7081,357,3F,208,economy
2954,6735,357,4A,208,economy
4403,7219,358,4B,880,economy
4160,3331,358,1J,880,economy
256,872,359,44I,552,business
2809,6532,359,10D,152,economy
7380,3275,360,26I,439,business
7420,3531,360,7B,39,economy
6983,7860,361,14G,611,business
414,2068,361,40I,611,business
3662,7287,362,15E,1387,business
852,7257,362,6H,987,economy
6472,1067,363,4D,99,economy
5414,7184,363,10H,99,economy
6054,5920,364,5I,79,economy
7744,5807,364,5E,79,economy
4988,4137,365,4I,123,economy
568,2143,365,1B,123,economy
1897,7807,366,18F,585,business
6204,5443,366,2D,185,economy
7451,3082,367,33B,430,business
3876,5658,367,1J,30,economy
7567,5195,368,10C,221,economy
3755,8097,368,15G,621,business
5188,1667,369,38A,517,business
261,1730,369,31F,517,business
5298,2545,370,41J,728,business
7203,5990,370,9J,328,economy
2685,3374,371,39G,803,business
2706,7514,371,28A,803,business
3864,5390,372,3F,18,economy
1544,1658,372,2G,18,economy
582,3608,373,27I,599,business
6385,6382,373,2C,199,economy
1603,6335,374,3H,86,economy
3694,1707,374,38C,486,business
3603,4732,375,15B,448,business
3401,2532,375,2C,48,economy
8009,4840,376,30E,652,business
1069,651,376,6C,252,economy
6458,4812,377,37C,441,business
5117,989,377,3E,41,economy
4617,6534,378,9F,177,economy
4927,4621,378,21C,577,business
7105,4903,379,10I,162,economy
2832,1081,379,29B,562,business
155,5565,380,17J,484,business
3231,7544,380,24F,484,business
226,5058,381,32H,472,business
5709,7093,381,44H,472,business
7448,3666,382,16A,498,business
1041,1774,382,38G,498,business
2881,5370,383,20I,489,business
4492,8073,383,8G,89,economy
6892,1766,384,9A,162,economy
6119,452,384,40H,562,business
4905,2535,385,25I,663,business
4145,5825,385,12E,663,business
386,5231,386,20B,422,business
1631,4507,386,3F,22,economy
2403,8164,387,12I,686,business
6432,7518,387,39G,686,business
666,834,388,8J,234,economy
6728,3122,388,11F,634,business
2724,5986,389,4F,521,economy
4587,2525,389,2H,521,economy
2998,3795,390,18I,554,business
3045,393,390,2F,154,economy
6032,6814,391,12H,441,business
792,7654,391,8F,41,economy
101,2000,392,5G,25,economy
6944,5564,392,3D,25,economy
5476,3558,393,3E,76,economy
1769,7965,393,8I,76,economy
4165,1205,394,29H,566,business
5770,7763,394,24F,566,business
3892,5310,395,4D,141,economy
6862,2428,395,3E,141,economy
5752,1644,396,26H,469,business
2839,2743,396,1A,69,economy
334,352,397,28H,423,business
3668,529,397,5A,23,economy
718,6030,398,9H,27,economy
6275,6973,398,3I,27,economy
3594,3784,399,39B,474,business
791,7191,399,28C,474,business
7180,1506,400,31D,988,business
3426,2808,400,10H,588,economy
2102,643,401,43J,583,business
4230,4476,401,1E,183,economy
3089,3454,402,21G,500,business
6857,1225,402,28F,500,business
6512,7475,403,8H,175,economy
3362,4636,403,10E,175,economy
1369,45,404,10F,126,economy
2643,496,404,6J,126,economy
2805,1929,405,6A,103,economy
7469,551,405,3I,103,economy
4722,5255,406,8A,330,economy
6863,3479,406,32A,730,business
3960,146,407,36D,439,business
4251,4747,407,22I,439,business
4375,2096,408,1C,51,economy
2546,4133,408,6J,51,economy
1309,7452,409,9C,160,economy
6354,1876,409,1D,160,economy
1099,4818,410,22F,661,business
368,6467,410,7H,261,economy
615,4028,411,11E,432,business
129,2943,411,30J,432,business
7590,6085,412,5C,81,economy
6479,8033,412,5I,81,economy
4362,4645,413,6F,103,economy
5988,5212,413,38I,503,business
2868,4746,414,12B,509,business
5543,2161,414,15C,509,business
926,2439,415,2B,67,economy
2941,3596,415,36I,467,business
4817,847,416,6A,92,economy
3761,109,416,24D,492,business
6457,7706,417,6E,11,economy
3258,2331,417,5G,11,economy
4404,170,418,21I,444,business
6817,7710,418,10A,44,economy
8177,3393,419,23H,428,business
4442,2880,419,3C,28,economy
2850,5774,420,22D,421,business
7174,5257,420,31G,421,business
5610,5670,421,26A,551,business
1668,6160,421,20G,551,business
4046,5105,422,6B,102,economy
5944,5327,422,5D,102,economy
4382,4615,423,10H,131,economy
6028,2908,423,25G,531,business
7712,975,424,30B,686,business
6062,1541,424,3B,286,economy
1886,1016,425,35F,453,business
4008,4939,425,6F,53,economy
7833,6500,426,9D,165,economy
2415,6453,426,37I,565,business
2118,3550,427,1B,128,economy
392,2457,427,21J,528,business
5418,5163,428,11E,1105,business
6773,1013,428,17D,1105,business
6831,8038,429,24D,510,business
22,8063,429,9C,110,economy
944,8013,430,36J,655,business
2170,2824,430,12B,655,business
5247,1503,431,4E,434,economy
4983,6003,431,7C,434,economy
642,5303,432,8C,21,economy
2406,1055,432,7C,21,economy
5415,6852,433,12H,477,business
5727,5441,433,6H,77,economy
7997,4938,434,1J,222,economy
2007,7882,434,5A,222,economy
1716,889,435,41C,599,business
6780,5991,435,17G,599,business
1745,7192,436,11G,461,business
3599,1010,436,33C,461,business
7685,5887,437,7C,142,economy
5502,2273,437,7F,142,economy
5659,7626,438,40G,683,business
2203,1015,438,7J,283,economy
4080,290,439,6F,68,economy
1234,1661,439,1C,68,economy
4384,5230,440,8C,211,economy
24,7990,440,8I,211,economy
777,6982,441,1A,301,economy
4949,112,441,7A,301,economy
6110,4480,442,8E,21,economy
1102,2461,442,2H,21,economy
5711,6987,443,7J,807,economy
521,1748,443,9J,807,economy
2531,1448,444,21G,503,business
1293,2320,444,6D,103,economy
1151,4509,445,7F,83,economy
159,1906,445,19D,483,business
5393,6135,446,28I,450,business
197,7891,446,1E,50,economy
1942,2750,447,2I,124,economy
4354,4026,447,34F,524,business
6270,3988,448,1J,136,economy
1486,3999,448,3G,136,economy
4911,2352,449,15E,554,business
4700,5306,449,6F,154,economy
5105,3875,450,1G,97,economy
2444,4601,450,42J,497,business
4294,666,451,29J,436,business
2177,4896,451,5H,36,economy
7015,5082,452,7G,169,economy
3797,4144,452,16J,569,business
1663,4755,453,5B,56,economy
3234,4813,453,15G,456,business
4847,1193,454,1A,110,economy
957,348,454,21H,510,business
7653,1650,455,9F,1082,economy
